cell_id,subject_id,workload_id,mode,run_id,external_wall_seconds,internal_wall_seconds,cpu_seconds,peak_rss_bytes,initialization_seconds,production_seconds,audit_seconds,serialization_hashing_seconds,audit_bytes,event_ledger_bytes,production_residual,production_tangent,production_trial,audit_residual,audit_tangent,audit_trial,output_fingerprint,trajectory_fingerprint,pass_flag
P5D-S01-MEDIUM-M0,JSS-S01,S01-MEDIUM,M0_AUDIT_OFF,run_06,3.2851442000828683,1.3153538660000095,0.769545256,191045632,0.1563366960000394,0.09078054700000848,0.0,0.0,0,0,8,6,8,0,0,0,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M0,JSS-S01,S01-MEDIUM,M0_AUDIT_OFF,run_07,3.0003138999454677,1.3100956400000427,0.758657833,191463424,0.18107445800001187,0.08686275500002694,0.0,0.0,0,0,8,6,8,0,0,0,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M0,JSS-S01,S01-MEDIUM,M0_AUDIT_OFF,run_08,3.0913352998904884,1.2638344499999903,0.743266475,191217664,0.1672918219999815,0.09167078299998366,0.0,0.0,0,0,8,6,8,0,0,0,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M0,JSS-S01,S01-MEDIUM,M0_AUDIT_OFF,run_09,3.04263410018757,1.3409770640000147,0.780646294,189923328,0.18197909599996365,0.08859604699995316,0.0,0.0,0,0,8,6,8,0,0,0,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M0,JSS-S01,S01-MEDIUM,M0_AUDIT_OFF,run_10,3.002666400047019,1.301207201000011,0.754469124,191229952,0.17753268600000638,0.08834862100002283,0.0,0.0,0,0,8,6,8,0,0,0,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M3,JSS-S01,S01-MEDIUM,M3_GENERIC_REPLAY,run_01,2.9157521000597626,1.237957066999968,0.7258156490000001,192913408,0.15888223399997514,0.08408090400001811,0.014056132000007437,3.0039000023407425e-05,640,0,8,6,8,2,2,2,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M3,JSS-S01,S01-MEDIUM,M3_GENERIC_REPLAY,run_02,3.2253203000873327,1.2799186550000172,0.758427309,191504384,0.1513583130000029,0.09172978399999465,0.012778152000009868,3.126600000769031e-05,640,0,8,6,8,2,2,2,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M3,JSS-S01,S01-MEDIUM,M3_GENERIC_REPLAY,run_03,3.010236999951303,1.2786667020000095,0.759237127,191541248,0.1606741980000379,0.08784629299998414,0.013713795999990452,2.9821999987689196e-05,640,0,8,6,8,2,2,2,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M3,JSS-S01,S01-MEDIUM,M3_GENERIC_REPLAY,run_04,3.093328299932182,1.2687906890000136,0.7726447059999999,191864832,0.14873069100002567,0.09676602700000103,0.017884613000035188,3.801000002567889e-05,640,0,8,6,8,2,2,2,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M3,JSS-S01,S01-MEDIUM,M3_GENERIC_REPLAY,run_05,2.9045945999678224,1.2935258599999884,0.779397227,190902272,0.1570672959999797,0.09771956100001944,0.015943819000028725,3.510400000550362e-05,640,0,8,6,8,2,2,2,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M3,JSS-S01,S01-MEDIUM,M3_GENERIC_REPLAY,run_06,2.9746365000028163,1.2998911089999865,0.774891436,191442944,0.15586828699997568,0.09513016900001503,0.01334939899999199,3.465399998958674e-05,640,0,8,6,8,2,2,2,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M3,JSS-S01,S01-MEDIUM,M3_GENERIC_REPLAY,run_07,2.9501636000350118,1.2432633070000065,0.733627981,190873600,0.15125822800001743,0.08953897200001393,0.012836800999991738,3.184700000247176e-05,640,0,8,6,8,2,2,2,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M3,JSS-S01,S01-MEDIUM,M3_GENERIC_REPLAY,run_08,3.0609802999533713,1.279504127999985,0.741110206,192065536,0.16727336799999648,0.09138248400000748,0.016816827000013745,5.778799999234252e-05,640,0,8,6,8,2,2,2,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M3,JSS-S01,S01-MEDIUM,M3_GENERIC_REPLAY,run_09,3.2526034999173135,1.2549052339999776,0.740125574,191950848,0.1637036719999969,0.08650215300002628,0.011927120999985164,3.029699996659474e-05,640,0,8,6,8,2,2,2,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
P5D-S01-MEDIUM-M3,JSS-S01,S01-MEDIUM,M3_GENERIC_REPLAY,run_10,3.0757353000808507,1.2863134739999964,0.755285119,190935040,0.16826489100003528,0.09131234299997004,0.014966220999951929,3.476799997770286e-05,640,0,8,6,8,2,2,2,ff8850e4a15bde5e5995945758b43f6bdaf834f99db8424106fdd1a9169c794c,eac6aa8d5855ebe50abf79b7f2fe7cec7065d04d9011693085b170c3c0ce1fa3,True
